sessionId,sessionStart,sessionEnd,countId,time,count,location,activities
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35936,"2016-03-01 10:20:26",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35937,"2016-03-01 10:20:27",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35938,"2016-03-01 10:20:28",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35939,"2016-03-01 10:20:29",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35940,"2016-03-01 10:20:30",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35941,"2016-03-01 10:20:31",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35942,"2016-03-01 10:20:32",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35943,"2016-03-01 10:20:33",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35944,"2016-03-01 10:20:34",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35945,"2016-03-01 10:20:35",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35946,"2016-03-01 10:20:36",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35976,"2016-03-01 12:22:43",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35977,"2016-03-01 12:22:44",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35978,"2016-03-01 12:23:50",1,"Public/StudyRooms (26)","[79]"
1088,"2016-03-01 12:22:40","2016-03-01 12:28:20",35979,"2016-03-01 12:23:52",1,"Public/StudyRooms (26)","[78]"
